filename,url,role,corpus_type,doc_number,issuer,biz_domain,perm_tag,title,issue_date,supersedes
ext_xxpl_226.pdf,http://www.csrc.gov.cn/csrc/c101953/c7547359/7547359/files/%E9%99%84%E4%BB%B61%EF%BC%9A%E4%B8%8A%E5%B8%82%E5%85%AC%E5%8F%B8%E4%BF%A1%E6%81%AF%E6%8A%AB%E9%9C%B2%E7%AE%A1%E7%90%86%E5%8A%9E%E6%B3%95.pdf,version,P-EXT,证监会令第226号,CSRC,DISCLOSURE,公开,上市公司信息披露管理办法（2025）,2025-02-28,ext_xxpl_182.pdf
ext_xxpl_226_revision_notes.pdf,http://www.csrc.gov.cn/csrc/c101981/c7528811/7528811/files/%E9%99%84%E4%BB%B62%EF%BC%9A%E3%80%8A%E4%B8%8A%E5%B8%82%E5%85%AC%E5%8F%B8%E4%BF%A1%E6%81%AF%E6%8A%AB%E9%9C%B2%E7%AE%A1%E7%90%86%E5%8A%9E%E6%B3%95%E3%80%8B%E4%BF%AE%E8%AE%A2%E8%AF%B4%E6%98%8E.pdf,revision_notes,P-EXT,修订说明,CSRC,DISCLOSURE,公开,《上市公司信息披露管理办法》修订说明,2025-02-28,
